优先级,不符合规则,问题分类,所属项目,所属执行,相关研发需求,任务名称,任务描述,任务类型,截止日期,任务状态,最初预计,总计消耗,预计剩余,进度,由谁创建,创建日期,由谁完成,实际完成,问题详情
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.3-0430,62799 2026年4月海外售后运维专项需求,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.3-0430,62040 核价功能升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/test
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.3-0430,61937 ERP新接口对接和升级改造,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.3-0430,61826 启用小家电配件订单,,,,,,,,,,,,,,缺少岗位任务：product
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.3-0430,61822 2026年4月海外售后发版技术支持,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.3-0430,61821 2026年4月海外售后项目管理协同合作支持,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.3-0430,61819 2026年4月海外售后AWS云迁移至Oracle云需求,,,,,,,,,,,,,,缺少岗位任务：product/ui
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.3-0430,61818 文件上传功能安全增强,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.3-0430,61811 管理端用户管理二次认证安全增强,,,,,,,,,,,,,,缺少岗位任务：product/ui
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.3-0430,61810 新增批次号权限控制,,,,,,,,,,,,,,缺少岗位任务：product
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.3-0430,61809 增加核价状态功能,,,,,,,,,,,,,,缺少岗位任务：product
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.4-0608,63276 网站邮箱修改,,,,,,,,,,,,,,缺少岗位任务：product/dev
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.4-0608,63270 编码校验异常提醒升级,,,,,,,,,,,,,,缺少岗位任务：product/dev
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.4-0608,63269 H5端UI视觉升级,,,,,,,,,,,,,,缺少岗位任务：product/dev
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.4-0608,63268 H5端新增常见问题页面,,,,,,,,,,,,,,缺少岗位任务：product/dev
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.4-0608,63267 H5端新增站内搜索页面,,,,,,,,,,,,,,缺少岗位任务：product
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.4-0608,63266 H5端新增首页,,,,,,,,,,,,,,缺少岗位任务：product
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.4-0608,61825 2026年5月海外售后项目管理协同合作支持,,,,,,,,,,,,,,缺少岗位任务：product/ui
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后v4.4-0608,61824 2026年5月海外售后发版技术支持,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后服务器迁移-0630,63516 2026年6月海外售后AWS云迁移至Oracle云需求,,,,,,,,,,,,,,缺少岗位任务：product/ui
P0,规则2,需求问题,海外售后GAS项目,【2026】海外售后服务器迁移-0630,63307 2026年5月海外售后AWS云迁移至Oracle云需求,,,,,,,,,,,,,,缺少岗位任务：product
P0,规则4,任务问题,销售财务中台管理系统,【2026】FMS-0530,,禅道传文件,"<p style=""text-align:justify;"">APIKEY:T1dE4fG6hI8jK0lM2nO4pQ6rS8tU1vW3</p><p>调用接口:<a target=""_blank"" href=""http://10.23.204.70:19102"" rel=""noreferrer noopener"">http://10.23.204.70:19102</a>&nbsp;</p><",a_dev,2026-07-31,wait,0.1,0,0.1,0,yuli,2025-12-22 09:51:04,,None,任务未关联需求
P0,规则6,任务问题,销售财务中台管理系统,【2026】FMS-0430,60683 2026年4月发版技术支持,0330发版支持,"<p><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, Helvetica, Tahoma, sans-serif;"">0330发版支持</span></p>",a_dev4_control,2026-04-10,done,33,32,0,100,180167,2026-04-09 17:20:14,A80602,2026-04-01 20:38:00,预计工时>33.0h
P0,规则6,任务问题,销售财务中台管理系统,【2026】FMS-0630,61338 1155-商用项目合同模式现汇和汇票到账管理和预收款管理,【测试】5月11日手工核销、退款核销、预收款单核销和反核销详设评审,"<p><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, Helvetica, Tahoma, sans-serif;"">会议时间：2026/5/7 09:00-11:30</span></p><p><span style=""font-size:13px;font-family:PingFangSC",ae2_test,2026-05-15,done,87,60,0,100,260298,2026-05-12 15:53:27,A80716,2026-05-11 16:30:00,预计工时>87.0h
P0,规则6,任务问题,销售财务中台管理系统,【2026】FMS-0630,61338 1155-商用项目合同模式现汇和汇票到账管理和预收款管理,【后端】5月11日手工核销、退款核销、预收款单核销和反核销详设评审,"<p><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, Helvetica, Tahoma, sans-serif;"">会议时间：</span><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, H",a_dev4_control,2026-05-15,done,130.5,128.5,0,100,260298,2026-05-12 15:51:04,A80520,2026-05-15 13:45:00,预计工时>130.5h
P0,规则15/19,任务问题,销售财务中台管理系统,【2026】FMS-0430,60667 2026年4月运维专项需求,修改企业类型,<p><strong>任务描述</strong></p><p><strong>【提供者】：卢家朝</strong></p><p><strong>【执行时间】：2026年4月3日</strong></p><p><strong>【修改理由】：修改企业类型</strong></p><p><strong>【执行内容】：</strong></p><p><strong>-- 数据库脚本</strong></p,Dev_Ops,2026-04-17,wait,0.1,0,0.1,0,A80602,2026-04-03 13:56:53,,None,任务未完成且已过截止日：2026-04-17
P0,规则15/19,任务问题,销售财务中台管理系统,【2026】FMS-0430,60668 2026年4月未确定板块的需求,禅道文件,"<p><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, Helvetica, Tahoma, sans-serif;"">机电公司FMS项目本周进度（5.25-5.29）：</span></p><p><span style=""font-size:13px;font-family:PingFangSC",misc,2026-05-29,wait,0.1,0,0.1,0,260298,2026-03-31 17:32:15,,None,任务未完成且已过截止日：2026-05-29
P0,规则15/19,任务问题,销售财务中台管理系统,【2026】FMS-0430,60673 2026年4月账户功能板块优化升级,账户功能板块升级规划与设计,,ab2_request_des,2026-04-19,done,13,13,0,100,A80514,2026-04-30 16:56:04,A80514,2026-04-30 16:56:00,任务完成日晚于截止日：2026-04-30 > 2026-04-19
P0,规则15/19,任务问题,销售财务中台管理系统,【2026】FMS-0430,60667 2026年4月运维专项需求,"2026-04-28 财务在大贲拆票,需要拿回来","<p><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, Helvetica, Tahoma, sans-serif;"">ok</span></p>",Dev_Ops,2026-04-28,done,0.1,0.1,0,100,A80556,2026-04-28 09:54:15,180071,2026-04-29 09:13:00,任务完成日晚于截止日：2026-04-29 > 2026-04-28
P0,规则15/19,任务问题,销售财务中台管理系统,【2026】FMS-0430,61850 1163-售后收付通分账进件功能升级,【前端】4月9日1163-售后收付通分账进件优化和1164-售后分账进件支持手机号修改UI评审,"<p><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, Helvetica, Tahoma, sans-serif;"">会议时间：2026/04/09 10:00-11:00</span></p>",a_dev2_front,2026-04-10,changed,2,2,0,100,260298,2026-04-09 10:50:33,A80575,2026-04-09 15:08:00,任务未完成且已过截止日：2026-04-10
P0,规则15/19,任务问题,销售财务中台管理系统,【2026】FMS-0430,61850 1163-售后收付通分账进件功能升级,【后端】4月9日1163-售后收付通分账进件优化和1164-售后分账进件支持手机号修改UI评审,"<p><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, Helvetica, Tahoma, sans-serif;"">会议时间：2026/04/09 10:00-11:00</span></p>",a_dev4_control,2026-04-10,changed,2,2,0,100,260298,2026-04-09 10:48:53,180167,2026-04-10 16:05:00,任务未完成且已过截止日：2026-04-10
P0,规则15/19,任务问题,销售财务中台管理系统,【2026】FMS-0430,61850 1163-售后收付通分账进件功能升级,【产品】4月9日1163-售后收付通分账进件优化和1164-售后分账进件支持手机号修改UI评审,"<p><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, Helvetica, Tahoma, sans-serif;"">会议时间：2026/04/09 10:00-11:00</span></p>",ab2_request_des,2026-04-10,changed,2,2,0,100,260298,2026-04-09 10:48:16,A80789,2026-04-09 16:44:00,任务未完成且已过截止日：2026-04-10
P0,规则15/19,任务问题,销售财务中台管理系统,【2026】FMS-0430,61850 1163-售后收付通分账进件功能升级,【测试】4月9日1163-售后收付通分账进件优化和1164-售后分账进件支持手机号修改UI评审,"<p><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, Helvetica, Tahoma, sans-serif;"">会议时间：2026/04/09 10:00-11:00</span></p>",ae2_test,2026-04-10,changed,2,2,0,100,260298,2026-04-09 10:47:27,wangyue,2026-04-09 11:00:00,任务未完成且已过截止日：2026-04-10
P0,规则15/19,任务问题,销售财务中台管理系统,【2026】FMS-0430,61850 1163-售后收付通分账进件功能升级,【UI】4月9日1163-售后收付通分账进件优化和1164-售后分账进件支持手机号修改UI评审,"<p><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, Helvetica, Tahoma, sans-serif;"">2026/04/09 10:00-11:00</span></p>",ad1_UI_des,2026-04-10,changed,2,2,0,100,260298,2026-04-09 10:46:23,a80549,2026-04-09 14:45:00,任务未完成且已过截止日：2026-04-10
P0,规则15/19,任务问题,销售财务中台管理系统,【2026】FMS-0430,61850 1163-售后收付通分账进件功能升级,【后端】4月7日1163-售后收付通分账进件优化需求评审,"<p><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, Helvetica, Tahoma, sans-serif;"">会议时间：2026/04/07 14:00-15:00</span></p>",a_dev4_control,2026-04-10,changed,3,3,0,100,260298,2026-04-08 16:00:24,180167,2026-04-08 17:30:00,任务未完成且已过截止日：2026-04-10
P0,规则15/19,任务问题,销售财务中台管理系统,【2026】FMS-0430,61850 1163-售后收付通分账进件功能升级,【前端】4月7日1163-售后收付通分账进件优化需求评审,"<p><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, Helvetica, Tahoma, sans-serif;"">会议时间：2026/04/07 14:00-15:00</span></p>",a_dev2_front,2026-04-10,changed,2,2,0,100,260298,2026-04-08 15:59:35,A80575,2026-04-09 09:14:00,任务未完成且已过截止日：2026-04-10
P0,规则15/19,任务问题,销售财务中台管理系统,【2026】FMS-0430,61850 1163-售后收付通分账进件功能升级,【测试】4月7日1163-售后收付通分账进件优化需求评审,"<p><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, Helvetica, Tahoma, sans-serif;"">会议时间：2026/04/07 14:00-15:00</span></p>",ae2_test,2026-04-10,changed,2,2,0,100,260298,2026-04-08 15:58:49,wangyue,2026-04-07 15:00:00,任务未完成且已过截止日：2026-04-10
P0,规则15/19,任务问题,销售财务中台管理系统,【2026】FMS-0430,61850 1163-售后收付通分账进件功能升级,【UI】4月7日1163-售后收付通分账进件优化需求评审,"<p><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, Helvetica, Tahoma, sans-serif;"">会议时间：2026/04/07 14:00-15:00</span></p>",ad1_UI_des,2026-04-10,changed,3,3,0,100,260298,2026-04-08 15:57:36,a80549,2026-04-10 11:00:00,任务未完成且已过截止日：2026-04-10
P0,规则15/19,任务问题,销售财务中台管理系统,【2026】FMS-0430,61850 1163-售后收付通分账进件功能升级,【产品】4月7日1163-售后收付通分账进件优化需求评审,"<p><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, Helvetica, Tahoma, sans-serif;"">会议时间：</span><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, H",ab2_request_des,2026-04-10,changed,2,2.5,0,100,260298,2026-04-08 15:56:35,A80789,2026-04-08 16:30:00,任务未完成且已过截止日：2026-04-10
P0,规则15/19,任务问题,销售财务中台管理系统,【2026】FMS-0430,60667 2026年4月运维专项需求,【脚本执行申请】修改个人用户手机号,"<p><span style=""font-size:13px;font-family:PingFangSC, HiraginoSansGB, Roboto, Helvetica, Tahoma, sans-serif;"">请在钱包侧执行，谢谢：</span></p><p>UPDATE pay_wallet_center.t_unified_person b SET <a target=""_blan",Dev_Ops,2026-04-03,done,1,0.1,0,100,180167,2026-04-03 17:30:20,A80739,2026-04-07 08:35:00,任务完成日晚于截止日：2026-04-07 > 2026-04-03
